Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1004162,Multifamily residential,1/1/14,8,"$7,507,524.32 ",5.34%,"$11,040,476.94 ","$683,405.52 ",1.7,120,57,9%,2002,0
Commercial Real Estate,ABC1004163,Multifamily residential,1/1/15,4,"$3,567,393.74 ",4.26%,"$6,370,345.97 ","$426,176.15 ",2.8,60,28,12%,2009,0
Commercial Real Estate,ABC1004164,Retail space,1/1/15,10,"$3,321,971.90 ",4.82%,"$4,958,167.02 ","$85,776.29 ",0.54,60,44,12%,2001,0
Commercial Real Estate,ABC1004165,Multifamily residential,1/1/19,8,"$1,504,370.13 ",4.91%,"$2,180,246.56 ","$152,181.21 ",2.06,120,9,9%,1999,0
Commercial Real Estate,ABC1004166,Retail space,1/1/18,8,"$708,354.54 ",5.07%,"$957,235.87 ","$74,951.57 ",2.09,120,55,14%,2009,0
Commercial Real Estate,ABC1004167,Multifamily residential,1/1/11,4,"$3,519,987.01 ",4.13%,"$6,518,494.46 ","$544,946.14 ",3.75,180,85,2%,2007,0
Commercial Real Estate,ABC1004168,Office building,1/1/14,7,"$9,081,393.32 ",5.27%,"$13,554,318.38 ","$1,001,664.13 ",2.09,120,78,2%,2006,0
Commercial Real Estate,ABC1004169,Multifamily residential,1/1/11,9,"$4,469,687.24 ",4.80%,"$6,122,859.24 ","$379,617.27 ",1.77,120,115,14%,2006,1
Commercial Real Estate,ABC1004170,Multifamily residential,1/1/16,8,"$1,093,524.22 ",4.71%,"$1,540,174.96 ","$90,562.29 ",1.76,120,119,2%,1999,0
Commercial Real Estate,ABC1004171,Multifamily residential,1/1/12,9,"$12,703,049.88 ",4.65%,"$19,543,153.66 ","$564,797.14 ",0.96,60,54,1%,2002,0
Commercial Real Estate,ABC1004172,Multifamily residential,1/1/19,6,"$4,196,795.52 ",4.10%,"$6,358,781.09 ","$450,837.58 ",2.62,120,40,30%,1997,0
Commercial Real Estate,ABC1004173,Multifamily residential,1/1/13,8,"$10,958,919.73 ",5.38%,"$15,435,098.22 ","$1,291,917.72 ",2.19,60,44,26%,1997,0
Commercial Real Estate,ABC1004174,Multifamily residential,1/1/15,7,"$6,217,187.63 ",4.89%,"$9,419,981.26 ","$601,936.80 ",1.98,120,9,10%,2001,0
Commercial Real Estate,ABC1004175,Retail space,1/1/11,10,"$4,191,030.08 ",4.64%,"$5,238,787.60 ","$328,995.86 ",1.69,180,132,2%,1996,0
Commercial Real Estate,ABC1004176,Retail space,1/1/14,9,"$1,288,790.35 ",4.96%,"$1,789,986.60 ","$95,406.29 ",1.49,120,113,1%,2001,0
Commercial Real Estate,ABC1004177,Multifamily residential,1/1/16,10,"$8,779,019.19 ",5.08%,"$10,838,295.30 ","$678,477.29 ",1.52,120,56,14%,2004,0
Commercial Real Estate,ABC1004178,Office building,1/1/19,10,"$17,287,461.50 ",4.35%,"$22,746,659.87 ","$1,055,445.02 ",1.4,60,40,11%,2006,0
Commercial Real Estate,ABC1004179,Retail space,1/1/13,6,"$1,816,776.57 ",4.12%,"$2,978,322.25 ","$195,973.60 ",2.62,60,53,12%,2004,0
Commercial Real Estate,ABC1004180,Multifamily residential,1/1/17,8,"$2,555,264.82 ",4.02%,"$3,813,828.09 ","$193,742.47 ",1.89,120,16,36%,2004,0
Commercial Real Estate,ABC1004181,Retail space,1/1/18,4,"$4,949,447.93 ",4.07%,"$8,998,996.24 ","$584,034.86 ",2.9,120,56,2%,1999,0
Commercial Real Estate,ABC1004182,Retail space,1/1/19,8,"$1,543,442.73 ",4.29%,"$2,616,004.62 ","$83,712.15 ",1.26,60,45,8%,1998,0
Commercial Real Estate,ABC1004183,Retail space,1/1/17,9,"$4,944,349.05 ",4.89%,"$6,681,552.78 ","$446,995.88 ",1.85,120,37,11%,2000,0
Commercial Real Estate,ABC1004184,Multifamily residential,1/1/11,9,"$5,099,155.59 ",4.07%,"$6,070,423.32 ","$542,088.80 ",2.61,120,111,31%,2008,0
Commercial Real Estate,ABC1004185,Retail space,1/1/12,7,"$3,780,737.15 ",5.42%,"$6,001,170.07 ","$355,869.39 ",1.74,120,103,4%,2002,0
Commercial Real Estate,ABC1004186,Office building,1/1/18,8,"$4,259,517.74 ",5.75%,"$6,173,214.12 ","$518,549.99 ",2.12,60,53,9%,1997,0
Commercial Real Estate,ABC1004187,Multifamily residential,1/1/16,8,"$5,499,315.01 ",5.23%,"$8,207,932.86 ","$446,511.55 ",1.55,60,46,28%,2002,0
Commercial Real Estate,ABC1004188,Retail space,1/1/12,8,"$1,982,664.84 ",4.92%,"$3,250,270.23 ","$124,810.38 ",1.28,120,54,30%,2006,0
Commercial Real Estate,ABC1004189,Retail space,1/1/19,7,"$2,081,194.26 ",4.11%,"$3,106,260.09 ","$206,255.67 ",2.41,60,44,2%,2005,0
Commercial Real Estate,ABC1004190,Multifamily residential,1/1/16,10,"$3,870,536.02 ",4.48%,"$5,529,337.17 ","$131,598.22 ",0.76,60,24,10%,1997,1
Commercial Real Estate,ABC1004191,Multifamily residential,1/1/17,10,"$1,484,702.58 ",4.07%,"$2,183,386.14 ","$48,907.85 ",0.81,180,122,11%,2002,0
Commercial Real Estate,ABC1004192,Retail space,1/1/11,10,"$1,270,763.34 ",5.04%,"$1,717,247.76 ","$78,306.50 ",1.22,60,46,9%,2003,0
Commercial Real Estate,ABC1004193,Multifamily residential,1/1/14,6,"$2,588,567.10 ",5.17%,"$4,314,278.49 ","$265,328.13 ",1.98,60,3,6%,2003,0
Commercial Real Estate,ABC1004194,Multifamily residential,1/1/13,7,"$4,350,204.42 ",5.63%,"$6,591,218.82 ","$525,979.26 ",2.15,180,83,1%,2009,0
Commercial Real Estate,ABC1004195,Retail space,1/1/18,6,"$889,481.79 ",4.89%,"$1,617,239.62 ","$81,023.70 ",1.86,120,28,12%,1998,0
Commercial Real Estate,ABC1004196,Office building,1/1/14,4,"$839,696.18 ",4.39%,"$1,646,463.10 ","$92,860.52 ",2.52,60,36,13%,2002,0
Commercial Real Estate,ABC1004197,Multifamily residential,1/1/14,5,"$6,048,508.74 ",4.22%,"$9,305,398.06 ","$890,526.59 ",3.49,120,28,37%,2004,0
Commercial Real Estate,ABC1004198,Multifamily residential,1/1/12,8,"$7,311,674.08 ",5.88%,"$11,793,022.71 ","$555,451.37 ",1.29,60,49,27%,1995,0
Commercial Real Estate,ABC1004199,Multifamily residential,1/1/13,12,"$14,985,761.12 ",5.51%,"$18,055,133.88 ","$337,631.00 ",0.41,60,12,8%,2009,1
Commercial Real Estate,ABC1004200,Multifamily residential,1/1/19,10,"$17,391,684.70 ",5.18%,"$25,205,340.15 ","$783,886.08 ",0.87,60,14,33%,2003,1
Commercial Real Estate,ABC1004201,Office building,1/1/16,9,"$10,010,868.54 ",5.78%,"$15,401,336.21 ","$632,994.92 ",1.09,60,24,12%,2006,0
Commercial Real Estate,ABC1004202,Retail space,1/1/12,8,"$10,017,877.17 ",4.04%,"$14,109,686.16 ","$821,183.73 ",2.03,60,16,38%,2000,0
Commercial Real Estate,ABC1004203,Office building,1/1/11,10,"$27,058,297.67 ",4.39%,"$35,140,646.32 ","$1,511,047.79 ",1.27,120,16,5%,2001,0
Commercial Real Estate,ABC1004204,Retail space,1/1/11,10,"$7,013,613.20 ",4.76%,"$9,108,588.58 ","$520,100.41 ",1.56,120,115,10%,2002,0
Commercial Real Estate,ABC1004205,Retail space,1/1/15,8,"$8,067,531.78 ",4.64%,"$11,864,017.32 ","$621,674.51 ",1.66,60,24,37%,2007,0
Commercial Real Estate,ABC1004206,Multifamily residential,1/1/19,7,"$1,757,490.87 ",4.33%,"$2,547,088.21 ","$183,390.35 ",2.41,60,40,7%,2001,0
Commercial Real Estate,ABC1004207,Retail space,1/1/15,10,"$12,205,367.24 ",5.81%,"$17,190,658.09 ","$646,368.74 ",0.91,60,44,13%,1998,0
Commercial Real Estate,ABC1004208,Retail space,1/1/15,8,"$5,712,624.46 ",4.97%,"$7,934,200.64 ","$590,304.53 ",2.08,120,68,39%,1995,0
Commercial Real Estate,ABC1004209,Retail space,1/1/14,8,"$4,920,671.16 ",5.24%,"$7,236,281.12 ","$532,590.29 ",2.07,120,46,14%,2006,0
Commercial Real Estate,ABC1004210,Retail space,1/1/15,7,"$2,401,579.69 ",4.61%,"$4,213,297.71 ","$189,177.07 ",1.71,120,116,32%,2003,0
Commercial Real Estate,ABC1004211,Retail space,1/1/18,7,"$32,832,448.12 ",4.79%,"$55,648,217.16 ","$2,665,549.60 ",1.69,120,23,14%,1998,0
Commercial Real Estate,ABC1004212,Office building,1/1/16,12,"$854,290.97 ",4.96%,"$1,067,863.71 ","$21,357.27 ",0.5,120,97,33%,2007,1
Commercial Real Estate,ABC1004213,Multifamily residential,1/1/18,6,"$11,623,656.89 ",5.69%,"$20,756,530.16 ","$1,170,668.30 ",1.77,60,10,35%,2002,0
Commercial Real Estate,ABC1004214,Retail space,1/1/19,7,"$609,360.68 ",4.06%,"$1,032,814.70 ","$44,617.60 ",1.8,120,112,11%,2001,0
Commercial Real Estate,ABC1004215,Multifamily residential,1/1/18,4,"$350,137.14 ",5.41%,"$673,340.66 ","$50,837.22 ",2.68,60,33,28%,2004,0
Commercial Real Estate,ABC1004216,Retail space,1/1/19,7,"$3,423,646.82 ",4.03%,"$5,267,148.95 ","$280,739.04 ",2.03,60,29,13%,2009,0
Commercial Real Estate,ABC1004217,Multifamily residential,1/1/15,10,"$5,374,317.52 ",5.83%,"$6,979,633.14 ","$455,770.04 ",1.45,120,6,37%,1999,0
Commercial Real Estate,ABC1004218,Multifamily residential,1/1/16,8,"$1,368,195.93 ",5.93%,"$2,073,024.14 ","$143,453.27 ",1.77,60,19,6%,2003,0
Commercial Real Estate,ABC1004219,Multifamily residential,1/1/15,4,"$226,678.11 ",5.24%,"$404,782.33 ","$33,151.67 ",2.79,60,38,13%,1995,0
Commercial Real Estate,ABC1004220,Office building,1/1/15,11,"$7,637,211.35 ",4.34%,"$9,667,356.14 ","$278,419.86 ",0.84,120,6,10%,2004,0
Commercial Real Estate,ABC1004221,Multifamily residential,1/1/18,9,"$11,675,749.14 ",5.44%,"$16,921,375.56 ","$991,592.61 ",1.56,120,8,11%,1999,0
Commercial Real Estate,ABC1004222,Retail space,1/1/11,8,"$2,819,400.27 ",5.36%,"$4,337,538.87 ","$196,490.51 ",1.3,60,12,39%,1997,0
Commercial Real Estate,ABC1004223,Retail space,1/1/18,7,"$5,088,570.97 ",4.86%,"$7,483,192.60 ","$560,491.13 ",2.27,120,32,14%,2006,0
Commercial Real Estate,ABC1004224,Multifamily residential,1/1/11,9,"$2,391,886.84 ",5.19%,"$3,624,070.97 ","$143,875.62 ",1.16,120,111,15%,2003,0
Commercial Real Estate,ABC1004225,Retail space,1/1/13,7,"$3,685,495.92 ",5.66%,"$5,190,839.32 ","$498,839.66 ",2.39,120,68,3%,2001,0
Commercial Real Estate,ABC1004226,Multifamily residential,1/1/17,10,"$6,485,534.58 ",5.93%,"$8,764,235.92 ","$482,909.40 ",1.26,120,62,1%,1997,0
Commercial Real Estate,ABC1004227,Multifamily residential,1/1/13,11,"$2,703,160.41 ",5.58%,"$3,180,188.71 ","$239,786.23 ",1.59,60,19,4%,2009,0
Commercial Real Estate,ABC1004228,Retail space,1/1/12,7,"$9,876,615.77 ",5.13%,"$14,524,434.96 ","$1,087,880.18 ",2.15,120,74,2%,1995,0
Commercial Real Estate,ABC1004229,Retail space,1/1/16,9,"$2,951,033.37 ",5.67%,"$4,684,179.95 ","$171,440.99 ",1.02,120,3,4%,2007,0
Commercial Real Estate,ABC1004230,Multifamily residential,1/1/15,6,"$2,652,410.11 ",4.90%,"$4,420,683.51 ","$284,249.95 ",2.19,120,81,8%,2002,0
Commercial Real Estate,ABC1004231,Retail space,1/1/18,8,"$1,942,010.21 ",4.38%,"$2,814,507.55 ","$140,162.48 ",1.65,180,44,9%,2001,0
Commercial Real Estate,ABC1004232,Office building,1/1/19,9,"$13,894,349.03 ",5.37%,"$18,525,798.70 ","$1,148,599.52 ",1.54,60,53,2%,2004,0
Commercial Real Estate,ABC1004233,Retail space,1/1/18,9,"$9,827,658.06 ",5.92%,"$14,242,982.70 ","$908,702.30 ",1.56,60,31,12%,1996,0
Commercial Real Estate,ABC1004234,Retail space,1/1/12,11,"$539,573.38 ",5.83%,"$691,760.74 ","$21,513.76 ",0.68,120,19,10%,1997,1
Commercial Real Estate,ABC1004235,Multifamily residential,1/1/11,8,"$852,025.41 ",4.14%,"$1,331,289.71 ","$57,378.59 ",1.63,120,26,33%,1996,0
Commercial Real Estate,ABC1004236,Retail space,1/1/16,7,"$1,794,545.67 ",5.52%,"$2,941,878.14 ","$182,984.82 ",1.85,60,17,6%,2009,0
Commercial Real Estate,ABC1004237,Retail space,1/1/16,7,"$4,177,218.44 ",4.33%,"$6,142,968.30 ","$433,079.26 ",2.39,120,35,11%,1998,0
Commercial Real Estate,ABC1004238,Retail space,1/1/12,8,"$3,253,216.24 ",5.16%,"$4,714,806.15 ","$282,888.37 ",1.69,120,51,15%,2004,1
Commercial Real Estate,ABC1004239,Retail space,1/1/15,4,"$7,168,069.70 ",4.23%,"$12,149,270.69 ","$1,091,004.51 ",3.6,60,48,1%,2002,0
Commercial Real Estate,ABC1004240,Multifamily residential,1/1/18,8,"$12,730,535.72 ",4.92%,"$17,439,090.03 ","$1,332,346.48 ",2.13,120,113,15%,1997,0
Commercial Real Estate,ABC1004241,Retail space,1/1/19,6,"$2,449,431.91 ",4.96%,"$3,827,237.35 ","$337,562.33 ",2.78,120,7,14%,2002,0
Commercial Real Estate,ABC1004242,Multifamily residential,1/1/11,8,"$2,617,440.51 ",5.51%,"$4,026,831.56 ","$193,287.91 ",1.34,60,15,15%,2005,0
Commercial Real Estate,ABC1004243,Office building,1/1/13,5,"$1,686,123.75 ",4.65%,"$3,372,247.50 ","$158,832.86 ",2.03,120,111,34%,1998,0
Commercial Real Estate,ABC1004244,Multifamily residential,1/1/13,9,"$7,712,811.56 ",5.62%,"$10,863,114.88 ","$624,629.11 ",1.44,120,24,3%,2004,0
Commercial Real Estate,ABC1004245,Office building,1/1/16,5,"$243,590.49 ",5.66%,"$434,983.02 ","$37,408.54 ",2.71,120,37,1%,2002,0
Commercial Real Estate,ABC1004246,Office building,1/1/17,7,"$1,743,466.31 ",5.22%,"$2,905,777.19 ","$176,090.10 ",1.93,120,2,10%,1997,0
Commercial Real Estate,ABC1004247,Retail space,1/1/13,5,"$1,331,870.00 ",4.51%,"$2,183,393.44 ","$178,383.24 ",2.97,120,53,8%,2006,0
Commercial Real Estate,ABC1004248,Multifamily residential,1/1/18,4,"$569,822.97 ",4.17%,"$1,162,904.03 ","$62,331.66 ",2.62,120,23,26%,2005,0
Commercial Real Estate,ABC1004249,Retail space,1/1/13,8,"$3,778,962.10 ",5.28%,"$5,998,352.53 ","$317,312.85 ",1.59,120,31,2%,2007,0
Commercial Real Estate,ABC1004250,Retail space,1/1/19,8,"$689,194.44 ",4.16%,"$895,057.72 ","$72,589.18 ",2.53,60,47,9%,1998,0
Commercial Real Estate,ABC1004251,Retail space,1/1/14,8,"$5,720,697.25 ",5.40%,"$9,226,931.04 ","$402,294.19 ",1.3,60,45,7%,2008,0
Commercial Real Estate,ABC1004252,Multifamily residential,1/1/17,8,"$7,793,418.35 ",5.10%,"$11,808,209.62 ","$704,950.11 ",1.77,60,15,15%,2009,0
Commercial Real Estate,ABC1004253,Office building,1/1/16,9,"$6,040,290.45 ",5.29%,"$9,015,358.88 ","$362,417.43 ",1.13,60,11,38%,2007,0
Commercial Real Estate,ABC1004254,Retail space,1/1/18,7,"$2,096,188.07 ",5.47%,"$3,614,117.37 ","$148,178.81 ",1.29,60,22,15%,1998,0
Commercial Real Estate,ABC1004255,Office building,1/1/18,8,"$258,003.75 ",4.09%,"$416,135.08 ","$10,361.76 ",0.98,120,90,4%,2000,0
Commercial Real Estate,ABC1004256,Multifamily residential,1/1/12,8,"$1,647,298.43 ",5.87%,"$2,792,031.23 ","$75,384.84 ",0.78,120,33,7%,1997,0
Commercial Real Estate,ABC1004257,Multifamily residential,1/1/12,10,"$2,231,246.84 ",4.00%,"$2,564,651.54 ","$193,118.26 ",2.16,120,18,34%,1995,0
Commercial Real Estate,ABC1004258,Retail space,1/1/12,8,"$725,073.78 ",5.58%,"$1,150,910.77 ","$44,540.25 ",1.1,60,60,3%,2007,0
Commercial Real Estate,ABC1004259,Multifamily residential,1/1/17,8,"$2,065,711.69 ",5.96%,"$2,869,044.02 ","$282,887.74 ",2.3,180,157,12%,1998,1
Commercial Real Estate,ABC1004260,Multifamily residential,1/1/16,6,"$4,811,726.10 ",5.71%,"$8,910,603.89 ","$486,518.97 ",1.77,60,23,15%,2001,0
Commercial Real Estate,ABC1004261,Office building,1/1/17,8,"$4,305,806.35 ",5.94%,"$6,151,151.92 ","$453,955.01 ",1.77,60,53,6%,1996,0
Commercial Real Estate,ABC1004262,Office building,1/1/14,10,"$3,443,269.65 ",5.14%,"$4,782,318.96 ","$174,554.64 ",0.99,60,38,10%,2005,0
Commercial Real Estate,ABC1004263,Office building,1/1/13,7,"$1,689,073.04 ",4.82%,"$2,447,931.94 ","$194,610.59 ",2.39,120,34,37%,2009,0
Commercial Real Estate,ABC1004264,Multifamily residential,1/1/16,8,"$2,114,365.62 ",5.03%,"$3,109,361.21 ","$210,503.75 ",1.98,60,36,14%,1996,0
Commercial Real Estate,ABC1004265,Multifamily residential,1/1/12,7,"$1,953,844.46 ",4.00%,"$2,676,499.26 ","$235,799.58 ",3.02,60,56,7%,2006,0
Commercial Real Estate,ABC1004266,Retail space,1/1/12,8,"$1,800,075.34 ",5.43%,"$2,903,347.32 ","$112,940.21 ",1.16,60,60,11%,1996,0
Commercial Real Estate,ABC1004267,Office building,1/1/14,9,"$316,734.36 ",5.01%,"$422,312.48 ","$24,578.59 ",1.55,60,58,13%,2001,0
Commercial Real Estate,ABC1004268,Multifamily residential,1/1/18,7,"$3,499,695.22 ",4.82%,"$5,737,205.29 ","$254,158.19 ",1.51,120,71,7%,2004,0
Commercial Real Estate,ABC1004269,Office building,1/1/17,11,"$3,299,376.42 ",5.50%,"$4,458,616.79 ","$122,166.10 ",0.67,120,104,11%,1996,0
Commercial Real Estate,ABC1004270,Retail space,1/1/18,7,"$469,748.77 ",5.49%,"$733,982.46 ","$44,993.12 ",1.74,60,28,4%,1995,0
Commercial Real Estate,ABC1004271,Retail space,1/1/15,9,"$6,909,228.65 ",4.71%,"$8,529,911.91 ","$742,102.34 ",2.28,120,33,1%,2000,0
Commercial Real Estate,ABC1004272,Multifamily residential,1/1/13,5,"$199,070.42 ",5.98%,"$382,827.72 ","$28,673.80 ",2.41,60,36,11%,2008,0
Commercial Real Estate,ABC1004273,Retail space,1/1/12,9,"$5,152,571.76 ",5.99%,"$8,050,893.37 ","$307,544.13 ",1,60,31,38%,2008,0
Commercial Real Estate,ABC1004274,Multifamily residential,1/1/18,5,"$4,657,857.88 ",4.41%,"$6,952,026.69 ","$699,373.89 ",3.4,120,77,3%,2003,0
Commercial Real Estate,ABC1004275,Multifamily residential,1/1/14,7,"$364,323.41 ",4.28%,"$569,255.33 ","$31,935.22 ",2.05,120,35,10%,2004,0
Commercial Real Estate,ABC1004276,Multifamily residential,1/1/15,9,"$4,663,720.44 ",4.10%,"$6,218,293.93 ","$352,577.27 ",1.84,180,89,10%,2004,0
Commercial Real Estate,ABC1004277,Retail space,1/1/12,9,"$4,493,589.41 ",4.19%,"$6,512,448.42 ","$275,476.57 ",1.46,120,17,13%,2006,0
Commercial Real Estate,ABC1004278,Multifamily residential,1/1/14,8,"$3,536,574.85 ",5.90%,"$4,715,433.14 ","$439,949.91 ",2.11,60,55,4%,1998,0
Commercial Real Estate,ABC1004279,Multifamily residential,1/1/13,9,"$4,967,196.27 ",4.32%,"$6,535,784.56 ","$432,668.94 ",2.02,120,23,36%,2005,0
Commercial Real Estate,ABC1004280,Retail space,1/1/19,10,"$4,752,162.27 ",5.49%,"$7,092,779.51 ","$168,098.87 ",0.64,120,7,8%,2003,0
Commercial Real Estate,ABC1004281,Office building,1/1/15,8,"$17,411,659.07 ",5.28%,"$26,381,301.62 ","$1,408,761.51 ",1.53,60,1,15%,2004,0
Commercial Real Estate,ABC1004282,Retail space,1/1/18,7,"$6,718,601.58 ",4.64%,"$9,598,002.26 ","$809,111.59 ",2.6,60,48,7%,2007,0
Commercial Real Estate,ABC1004283,Retail space,1/1/17,9,"$2,225,263.52 ",4.67%,"$3,134,173.97 ","$151,694.02 ",1.46,120,78,31%,1999,0
Commercial Real Estate,ABC1004284,Office building,1/1/13,8,"$2,466,535.46 ",5.03%,"$3,473,993.60 ","$266,455.31 ",2.15,180,123,2%,2000,1
Commercial Real Estate,ABC1004285,Multifamily residential,1/1/14,9,"$4,889,070.12 ",5.68%,"$8,014,869.06 ","$207,585.11 ",0.75,60,59,26%,2005,0
Commercial Real Estate,ABC1004286,Office building,1/1/17,7,"$699,073.53 ",4.58%,"$998,676.46 ","$86,185.78 ",2.69,120,65,10%,1998,0
Commercial Real Estate,ABC1004287,Multifamily residential,1/1/15,7,"$2,119,655.11 ",4.97%,"$3,163,664.34 ","$246,449.45 ",2.34,60,19,31%,2000,0
Commercial Real Estate,ABC1004288,Retail space,1/1/13,9,"$1,953,707.40 ",4.94%,"$2,713,482.50 ","$167,693.22 ",1.74,120,83,2%,2009,0
Commercial Real Estate,ABC1004289,Office building,1/1/17,10,"$680,296.95 ",5.66%,"$931,913.62 ","$47,248.02 ",1.23,60,53,2%,1999,0
Commercial Real Estate,ABC1004290,Multifamily residential,1/1/14,10,"$1,005,996.18 ",5.55%,"$1,241,970.59 ","$105,567.50 ",1.89,60,56,6%,2003,1
Commercial Real Estate,ABC1004291,Multifamily residential,1/1/16,8,"$5,523,548.21 ",4.68%,"$8,005,142.33 ","$469,101.34 ",1.81,60,18,1%,1997,0
Commercial Real Estate,ABC1004292,Retail space,1/1/13,11,"$9,106,398.22 ",5.23%,"$11,105,363.68 ","$624,121.44 ",1.31,120,118,7%,2003,1
Commercial Real Estate,ABC1004293,Retail space,1/1/11,9,"$1,017,286.74 ",4.76%,"$1,474,328.60 ","$50,569.47 ",1.04,120,61,13%,2004,0
Commercial Real Estate,ABC1004294,Office building,1/1/17,9,"$1,738,687.76 ",4.58%,"$2,414,844.11 ","$127,262.28 ",1.6,180,20,15%,2007,0
Commercial Real Estate,ABC1004295,Multifamily residential,1/1/14,11,"$2,117,496.09 ",5.00%,"$2,520,828.68 ","$126,545.60 ",1.2,60,15,12%,2005,1
Commercial Real Estate,ABC1004296,Office building,1/1/14,12,"$3,659,157.40 ",5.88%,"$4,408,623.37 ","$208,087.02 ",0.97,120,57,11%,1997,0
Commercial Real Estate,ABC1004297,Multifamily residential,1/1/12,11,"$2,050,224.22 ",5.62%,"$2,808,526.34 ","$60,664.17 ",0.53,60,60,32%,2004,0
Commercial Real Estate,ABC1004298,Multifamily residential,1/1/16,8,"$1,119,390.57 ",5.20%,"$1,722,139.33 ","$105,050.50 ",1.8,60,20,31%,2000,0
Commercial Real Estate,ABC1004299,Multifamily residential,1/1/16,7,"$1,367,216.19 ",5.13%,"$2,071,539.68 ","$153,293.94 ",2.19,120,50,12%,1998,0
Commercial Real Estate,ABC1004300,Office building,1/1/16,10,"$12,308,632.00 ",4.76%,"$17,336,101.42 ","$627,566.87 ",1.07,120,31,10%,2000,0
Commercial Real Estate,ABC1004301,Office building,1/1/16,9,"$1,326,654.93 ",4.50%,"$1,792,776.94 ","$96,989.23 ",1.62,60,58,12%,2004,0
Commercial Real Estate,ABC1004302,Retail space,1/1/15,10,"$7,489,049.09 ",4.59%,"$9,726,037.78 ","$526,178.64 ",1.53,120,48,14%,1999,0
Commercial Real Estate,ABC1004303,Retail space,1/1/16,11,"$17,474,988.16 ",5.82%,"$20,086,193.28 ","$1,839,895.30 ",1.81,60,28,30%,2001,0
Commercial Real Estate,ABC1004304,Retail space,1/1/13,8,"$17,596,332.45 ",5.60%,"$25,501,931.08 ","$1,866,741.36 ",1.89,60,2,15%,2005,0
Commercial Real Estate,ABC1004305,Multifamily residential,1/1/13,8,"$5,020,445.73 ",5.83%,"$8,230,238.89 ","$381,883.08 ",1.3,60,35,9%,1995,0
Commercial Real Estate,ABC1004306,Retail space,1/1/13,8,"$9,366,078.07 ",5.00%,"$14,191,027.38 ","$828,756.00 ",1.77,120,74,1%,2004,0
Commercial Real Estate,ABC1004307,Retail space,1/1/19,8,"$1,943,453.41 ",4.81%,"$2,858,019.72 ","$194,345.34 ",2.08,120,61,15%,2009,0
Commercial Real Estate,ABC1004308,Retail space,1/1/15,10,"$42,296,541.71 ",5.61%,"$61,299,335.81 ","$1,697,991.60 ",0.72,120,52,1%,2004,0
Commercial Real Estate,ABC1004309,Retail space,1/1/13,5,"$1,928,587.55 ",4.64%,"$3,268,792.47 ","$270,002.26 ",3.02,180,77,7%,2008,0
Commercial Real Estate,ABC1004310,Multifamily residential,1/1/15,10,"$10,652,878.50 ",4.12%,"$12,991,315.24 ","$893,802.49 ",2.04,180,154,4%,1998,0
Commercial Real Estate,ABC1004311,Retail space,1/1/13,6,"$1,428,574.22 ",4.34%,"$2,040,820.31 ","$206,122.85 ",3.32,60,18,8%,2001,0
Commercial Real Estate,ABC1004312,Multifamily residential,1/1/14,5,"$3,050,824.56 ",4.88%,"$5,001,351.74 ","$417,612.87 ",2.81,120,112,11%,1998,0
Commercial Real Estate,ABC1004313,Multifamily residential,1/1/17,6,"$1,931,180.94 ",5.51%,"$3,576,260.99 ","$180,243.55 ",1.69,120,83,1%,1999,0
Commercial Real Estate,ABC1004314,Retail space,1/1/12,8,"$3,218,721.77 ",4.57%,"$4,349,624.01 ","$339,705.64 ",2.31,120,116,15%,2006,0
Commercial Real Estate,ABC1004315,Office building,1/1/12,7,"$1,960,707.12 ",4.96%,"$3,380,529.51 ","$121,022.96 ",1.24,120,38,12%,1996,0
Commercial Real Estate,ABC1004316,Retail space,1/1/18,8,"$2,455,305.82 ",5.93%,"$3,507,579.75 ","$252,896.50 ",1.74,60,24,32%,2003,0
Commercial Real Estate,ABC1004317,Multifamily residential,1/1/19,5,"$3,474,634.22 ",5.71%,"$5,990,748.65 ","$531,379.41 ",2.68,120,34,33%,1996,0
Commercial Real Estate,ABC1004318,Multifamily residential,1/1/16,7,"$582,083.38 ",4.21%,"$808,449.14 ","$68,071.42 ",2.78,120,28,13%,2005,0
Commercial Real Estate,ABC1004319,Office building,1/1/14,4,"$36,206,180.13 ",4.72%,"$65,829,418.42 ","$5,345,348.78 ",3.13,120,30,12%,1996,0
Commercial Real Estate,ABC1004320,Multifamily residential,1/1/13,10,"$4,135,137.23 ",5.67%,"$5,042,850.28 ","$448,309.39 ",1.91,120,6,11%,1999,0
Commercial Real Estate,ABC1004321,Office building,1/1/12,11,"$4,213,297.22 ",5.90%,"$5,015,830.03 ","$364,149.26 ",1.46,60,15,35%,1996,0
